Time,wb_x_vel,base_x_vel_flt,arm_x_vel_syn,x_wb,x_hat,x_des_w,dx_hat
0.77,0.1,0.04931567,0.04931567,-0.1285583,0.0179559431938478,0.025,0.125966067599798
0.779992,0.1,0.0493018,0.0493018,-0.1279217,0.0191296295127888,0.026,0.117368631894092
0.78999,0.1,0.04928448,0.04928448,-0.1273824,0.0202053466881012,0.027,0.107571717531245
0.79999,0.1,0.04926429,0.04926429,-0.1268891,0.0211779266391975,0.028,0.0972579951096254
0.809989,0.1,0.04923842,0.04923842,-0.1263844,0.0220513247824422,0.029,0.0873398143244718
0.819995,0.1,0.04922457,0.04922457,-0.1254641,0.0228393144197243,0.03,0.0787989637282162
0.829991,0.1,0.0492211,0.0492211,-0.1249629,0.0236018722124079,0.031,0.0762557792683555
0.839992,0.1,0.04922609,0.04922609,-0.1242956,0.0243238338428048,0.032,0.0721961630396889
0.849989,0.1,0.04923786,0.04923786,-0.1227478,0.0250205823320525,0.033,0.0696748489247708
0.859992,0.1,0.04925502,0.04925502,-0.1217915,0.0257960661049362,0.034,0.0775483772883744
0.869998,0.1,0.04927637,0.04927637,-0.1208709,0.0266251041367921,0.035,0.08290380318559
0.879995,0.1,0.04930089,0.04930089,-0.1197861,0.027486738003544,0.036,0.0861633866751875
0.889989,0.1,0.04932775,0.04932775,-0.118563,0.0283855918705537,0.037,0.0898853867009642
0.899992,0.1,0.04934806,0.04934806,-0.1164178,0.0293345115750413,0.038,0.0948919704487613
0.910023,0.1,0.0493465,0.0493465,-0.115259,0.030432582303095,0.039,0.109807072805369
0.920037,0.1,0.04932567,0.04932567,-0.1140958,0.0316024964618028,0.04,0.116991415870781
0.929997,0.1,0.04930295,0.04930295,-0.1131922,0.0328021756397067,0.041,0.119967917790391
0.940024,0.1,0.04928329,0.04928329,-0.1120876,0.033981673290421,0.042,0.117949765071429
0.950021,0.1,0.04927011,0.04927011,-0.1102589,0.0351422598335496,0.043,0.116058654312864
0.960022,0.1,0.04925989,0.04925989,-0.1102589,0.0363641069543771,0.044,0.122184712082749
0.969996,0.1,0.0492585,0.0492585,-0.1084496,0.0374807500146912,0.045,0.111664306031409
0.979995,0.1,0.04925225,0.04925225,-0.1076099,0.0386225667198686,0.046,0.114181670517737
0.990023,0.1,0.04923891,0.04923891,-0.106804,0.0397415810610522,0.047,0.11190143411836
0.999994,0.1,0.0492336,0.0492336,-0.1060718,0.0408150882916457,0.048,0.107350723059354
1.00999,0.1,0.04923696,0.04923696,-0.1045438,0.0418299350166057,0.049,0.101484672495999
1.019991,0.1,0.04924731,0.04924731,-0.1045438,0.0428718071513152,0.05,0.10418721347095
1.03,0.1,0.04926322,0.04926322,-0.1033469,0.0438126404944791,0.051,0.0940833343163899
1.039995,0.1,0.04928348,0.04928348,-0.1027254,0.0447340348402251,0.052,0.0921394345745983
1.050023,0.1,0.04930404,0.04930404,-0.1014527,0.0456131543607164,0.053,0.0879119520491336
1.060023,0.1,0.04931064,0.04931064,-0.1007849,0.0465140675625267,0.054,0.0900913201810328
1.070024,0.1,0.04931945,0.04931945,-0.1001297,0.0473984208100434,0.055,0.0884353247516621
1.080002,0.1,0.04933339,0.04933339,-0.09946,0.0482494262263987,0.056,0.0851005416355346
